id;hier_unit_id;tz_index;tz_name;locale_info_id;name;reporting_loc_name;loc_ref;reporting_parent_enterprise_level_name;object_num;sbm_pms_ifc_ip;sbm_pms_ifc_port;sbm_prive_room_start;sbm_prive_room_end;sbm_pms_send_all_details;sbm_pms_send_full_dscv;sbm_pms_send_64_tax;sbm_card_payment_url;sbm_check_hotel_data_url;sbm_voucher_svc_url;sbm_voucher_inv_pm;sbm_voucher_corp_pm;sbm_voucher_reward_pm;sbm_voucher_mc_pm;sbm_pms_ifc_port_2;sbm_pms_ifc_port_3;sbm_pms_ifc_port_4;sbm_timeout
1;1481;24401;tasty napkin since;6644;as however excitedly;eminent catalyst;than contractor;and;29965;attraction;cork potable provider;when fat out;only;whoa;boo indelible;prudent instead justly;exaggerate;nautical;provided without;eek;mad;now;scuttle;whoever;yum until aha;between;persecute
2;9354;20941;private;1283;intent;aw quietly;elevator what disbar;until furiously;5960;blah milestone gracefully;of custom oh;after because ew;backburn unless cleave;fooey;atop;energetically ironclad mortar;lustrous yuck uselessly;unless devastation rigidly;hence substantiate;tightly;without selfishly;whoa;primary which midst;limp to ski;grumpy;furlough brightly;scented before
3;7471;13921;boo forceful;2680;indeed;yum croon;about;pulp;7771;diver extremely eyebrow;graft terrible underneath;geez;really whose loosely;definitive;politely boohoo brochure;apropos reluctantly however;meanwhile outside what;rarely whether;peter bowed;twist;capitalise;offensively upright ouch;finally thorough as;homeschool aha gah;oof yowza;once down;gloss
4;7944;3094;inasmuch meanwhile merit;28667;major;mechanically;atop;nautical lest phew;10123;quarrel newsstand;smoggy international safely;once searchingly rationalize;pfft;ignite down brown;lovingly;along pish who;when guest opposite;moist;gosh;priesthood generously hunt;uselessly boo;brr;er;wheel;frizz aha;correctly inside sympathetically;humidity phew
5;1975;8685;geez astride zowie;27479;verify;separately aha;embed atomize;wonderfully off;3434;elementary across;aircraft low gosh;carefully frightened describe;distinct lasting continually;steep;though for;enormously apropos;nasalise dental;clumsy hopelessly gosh;soon role;elementary;quick yahoo siege;for heating;empty;shallow so;caption juggernaut;about meanwhile;woot for
6;1328;18576;trouser pish obscure;17545;pish fooey pfft;heavy;after inasmuch;insidious disgorge ick;16909;but secondary too;unless;considering oh outlandish;failing;gah drag amongst;second-hand hence sad;when unlike oof;now past;nifty reiterate ascribe;harp although;corporation twine yeast;aw;overspend however;battle even;fooey;flashy warming oh;mid;scare
7;6760;22171;enlist;6705;dial brush;ill-fated;instantly gracefully despite;if fledgling personal;21322;lotion to;softly;gadzooks;goodwill disloyal;likable painfully downright;about;really absentmindedly slather;across;inasmuch impossible;noted;youthfully uh-huh;declaration;supposing nasalise furthermore;sometimes;voluntarily;to;nautical ravel black;inside rigidly inquisitively
8;23224;2943;belabor since;10594;train;character so;surprised imagineer oof;fatally think who;22890;haul sate;uh-huh;riser except;round unlike;rationalise;gah provided gratefully;pigpen;unimpressively revere lyre;woot;possible settler likewise;preclude lampoon;commodity provided;and;courageously mozzarella besides;outdo;ha athletic odd;declaration instantly;or ponder
9;9699;20525;developing;7097;while;gastropod;between important;factorise;29589;ostrich powerless;or pish;minion;intelligent;relieve;while;nearly closely;circa;deflect aha strange;until eek;bah brr fortunately;lest madly;kit whether;whether apropos;successfully;during appreciate;ajar until compete;tensely than
10;26557;6798;successfully;17811;yet;preclude than beneath;whose;ouch;11888;woot trust stiff;powerfully when;firsthand house;monthly skeletal;customise;celebrate parade;whoa reconstitute;positively;thrifty upbeat;quirkily shakily powerful;pilot;eek likewise splosh;ribbon since;unlike lamp;explode monthly whale;tidy;from;since coaxingly
