id;org_short_name;loc_ref;name;currency;phone_number;languages;timezone_iana_name;timezone_windows_name;timezone_tz_index;address_line_1;address_line_2;address_floor;address_locality;address_region;address_postal_code;address_country;address_notes;geo_latitude;geo_longitude;pos_platform_name;pos_platform_version
1;easy yuck consequently;wrongly beret;reconsideration;furiously laughter by;important soup statue;parsnip;now why cemetery;best-seller;22568;window loftily;impossible coolly finally;circle swelter sport;hypothesize promise spark;mmm yuck;ultimately;ick horst;that oddball display;18226.43;8174.95;dally;cycle border jot
2;swanling why;monthly;trusting poppy;consequently mortar brisk;for hole toward;sinful alongside elementary;yum wildly;however;4917;if;boggle phooey ecstatic;fooey keenly frantically;worldly private meanwhile;that;portray after litter;upon woot;well warmhearted doodle;1507.57;25086.31;amnesty onto brr;spring joint mmm
3;consign phew apud;minus;defendant boohoo serve;nephew;tentacle oof;toaster;psst like;rebound firsthand finally;15409;ingratiate transcend yowza;consequently finally;furthermore;before wherever unlike;after continually besmirch;league house;dusk meanwhile ah;on;28561.02;12311.19;always;abaft swing
4;where gerbil gadzooks;aha boastfully;tapioca subdued;zowie rejoin throughout;apostrophize;digestive wrathful;stiffen;impassioned starch celsius;4214;urgently once;incidentally below ugh;quarrelsomely which;reorganisation at uh-huh;weakly wherever scarcely;cardboard hmph foolish;well-groomed boggle;calmly grass;26829.05;17060.15;keenly while whoever;boo cuckoo jubilantly
5;so;so furthermore;larva athwart;gnaw;behest;who as;ew noisily before;scientific to;20444;idolized failing chime;density;boohoo;draft a;waft questioningly;flash casement;venom yum;certainly kit so;27526.84;14100.24;duh slipper;impanel astride
6;next extension;trial astonishing;quicker recklessly phooey;per when;from arraign;rarely march label;phew;alert vainly;14805;indeed;meanwhile mouser numeracy;who times hm;yet fooey why;stake;far mediocre;precedent sans as;aboard;24945.34;22505.14;than fooey while;nucleotidase nor
7;stale hmph after;polyester;gloat mom;mmm eggplant;remorseful cook;intend amid;amongst blah;convoke;12072;solidly;pish;vision till yellow;stock given;ick grade where;above nocturnal against;grave;divert;25034.28;32078.29;worriedly;sadly opposite
8;which;fedora;pfft;gosh terraform grass;briefly drab;majestically woefully;aside;madly;13150;phew afore amid;fooey;lest expense;kielbasa upbeat fashion;illusion;disconnection slope;than greatly nor;offset scarper zowie;29131.14;2686.57;upliftingly behold;thrifty
9;er trusting inasmuch;barring meh whoever;furthermore joshingly;sans;oh muffled;although;though;fatal;14143;igloo;wire;where;wherever obligation;firsthand birdcage helpful;geez surprisingly;scrutinise now;badly apropos rule;8335.71;8383.06;heartfelt shear marathon;stingy amend
10;maroon ack;whether jam-packed that;absent parody;gee cannibalise;against gadzooks hm;retract;swiftly;opposite incidentally joy;29734;ick indeed;regularly;rival trash down;energetically;but;huzzah oh tune;apropos nerve opposite;deliberately cook exhausted;20306.32;12154.16;normal burgeon;adviser
