id;org_short_name;loc_ref;name;currency;phone_number;languages;timezone_iana_name;timezone_windows_name;timezone_tz_index;address_line_1;address_line_2;address_floor;address_locality;address_region;address_postal_code;address_country;address_notes;geo_latitude;geo_longitude;pos_platform_name;pos_platform_version
1;proper;punctually;ah;trim bludgeon;desk thoughtfully;since radiant in;via trustworthy arraign;carelessly;31978;however unit;pfft unhappy meh;premeditation;technologist;ick yippee;experience armoire;though amidst larva;in uh-huh;18004.52;18398.39;aha gadzooks;yet orient
2;kindheartedly fishery for;lumpy accurate;beret;perfectly immediately;headline;huddle primary ashamed;drowse viability;hose;14401;loaf;so mesh;mutate spellcheck bug;aside cantaloupe;funny consequently arrogantly;sway;finally;than than underachieve;5186.54;14489.68;yum save;boggle
3;bah;wherever aw psst;drat;meh;comfortable happily;guilt;handful;lovable story;2350;till membership crushing;er starboard a;knowingly thoroughly brr;earth;mispronounce;gee rubric outlaw;persecute;viciously er;30430.1;22026.42;scoff during outlaw;freckle
4;carpool carouse a;for;notarize worth beard;recommendation but controvert;finally until capitalize;drat;an yowza digestive;softly faint including;20349;chainstay mockingly;gee secrecy;legging reiterate against;while for;blaring;vulgarise seldom;for eyeglasses;harmful;14148.8;18759.8;meh;longingly biodegradable woefully
5;urgently towards summary;homely aw superb;zowie;please;energetically zowie;muscat behind polite;because longboat hunger;till;9670;while;although phew;before;aha humidity married;interestingly yin;unimpressively for brr;brr monstrous;actually big shiny;19688.53;30769.11;yuck;lace massage vastly
6;glorious drat;glittering though meanwhile;psst emboss;an till where;jury bandwidth shore;nun governance than;cappelletti skean;tightly safe;27385;upright overstay;helplessly;trustworthy energetically;since zowie;rudely definite courteous;apropos modulo;so in;wildly upwardly;20104.05;10495.97;pfft;boohoo wear
7;duh;yearningly;readjust fooey saturate;which huzzah;yuppify because;slushy recent;consequently statement exasperation;in;19373;topsail ignorant loose;against flawed frightfully;lawmaker;minus yowza;er;selfish compete;whether sandy through;labourer meh;27197.15;26751.4;boohoo phooey;with
8;grass;tenderly;hm worth;considering hence;besides;pfft punctual hence;instance boohoo;vacation freezing patiently;12684;outsource;save;next to profuse;put before indeed;to upwardly;warmly;kielbasa;cuddly stable minus;10486.91;11907.9;damp lovingly exonerate;across
9;wherever quip;although;bleakly psst;singing for stealthily;wonderfully;pulverize;where bobble quixotic;vivaciously like;13171;mid;yet whether;instantly more topsail;deliberately jovially;gosh;beneath;huzzah;tenderly whereas aha;10316.74;8153.76;nun modulo;sunder unimportant inure
10;roasted;ouch whereas;insolence edge;yesterday in;offend where bowler;broken;incidentally distorted condense;orchestrate whenever reprove;2358;barring penalise;language aw inexperienced;oh;atrium;potentially mid;extract spanish;border hovel while;instead ugh instead;13307.48;32576.93;steel rich before;what unlike publication
