id;correlation_id;method;base_path;endpoint;full_url;path_params;query_params;request_headers;request_body;response_status_code;response_status_text;response_headers;response_body;timestamp;duration_ms;error_message;error_type;service_name;environment;user_agent;client_ip;success;retry_count;kafka_topic;session_id;user_id
1;swim now speedily;ignite thick typeface;definite supposing queasily;imagineer;teeming that;appreciate uh-huh behind;notarize;content;why aha;12701;battle likewise;silently;unlike shrilly;2025-07-28T14:46:19;30963;questioningly;safeguard;programme adviser guest;gallivant oof;once for aside;like;false;7322;railway;hmph gratefully;fake prance
2;bestride cluttered;depot lean;blah;which;trusting clone than;at about;presume;a drug horst;salty unwritten westernise;23327;likewise;pfft;kosher;2025-07-28T20:11:37;7661;bitterly until railway;mmm;co-producer fairly though;starch well-made aw;pish;deeply;false;1431;fantastic pfft tepid;aha chainstay violent;outdo shinny
3;loosely marathon hassle;that modulo;charlatan decriminalize apud;huge unaware;chatter;for underneath boo;anenst voluminous;thorn;gosh hateful while;12142;blindly;whose;below phew;2025-07-29T01:23:06;20327;pretend;season unfortunately or;oof joshingly;down;whack aha tall;follower wise;true;30117;detective hopelessly culture;accountability;minty annual
4;schematise;better cycle;whoever failing meanwhile;sadly institute recompense;truthfully valentine correctly;oh shirk;reckless;through second-hand supposing;ha physically;27056;drat corner hence;depend gleefully brief;misappropriate mortar;2025-07-28T15:56:18;12237;fold eek;teeming;unnecessarily deeply to;hmph in;up frizzy;irk phooey hateful;true;18823;deployment;concerning;hose in
5;beyond;longboat ragged;talkative concerning;glittering forgo;against however against;legislature;gee;lanky;till fervently;26837;amidst help which;amidst athwart that;loosely;2025-07-28T19:31:32;19524;assist miserly extra-large;provided;inquisitively once save;gleefully;yum cautiously aha;now woot;false;21221;even equatorial;whenever honestly offend;since ew optimistic
6;forenenst embarrassment;weird cook guzzle;parsnip pish whether;irk now;carefree knottily faithfully;mid;failing drat;decide whereas absent;since a;24030;unimpressively honestly;nor phew utterly;how after nice;2025-07-28T20:37:40;17984;focused;quick-witted opposite;eventually;fine;an unbearably;unlike though softly;true;1478;regularly lest concentration;who;glisten failing colour
7;until but;towards;hmph despite;barge interestingly;bah gee lack;store brr;homeschool until;guard oof;uh-huh;7569;hawk;warmly;how epic;2025-07-28T14:05:31;11593;militate up;profane;but starboard;so who;internalise sociable settler;gosh enthusiastically pliers;true;13328;atop pfft short;glossy dwell oh;polarisation lazily
8;whose aha;on;duh athletic;ugh;geez wisecrack hasty;even insidious;queasily unless;meanwhile straw lest;slipper instead;20538;bookend;splurge yuck hmph;hasty who;2025-07-28T17:43:40;27336;by;gah descendant;inasmuch glittering;punctual;loosely jungle shameless;inure among wound;false;29767;ferociously heartfelt;fooey;absentmindedly
9;incidentally;case ick;concerning;portray worthless;undergo;hippodrome;consequently calmly;hyphenation;nifty knowingly gripper;25685;license;yet information;against provided;2025-07-28T18:12:14;15261;yippee disrespect;knottily by kindheartedly;pull atop;qua what manage;countess brisk smuggle;though anti;true;11734;anenst;doorpost oof yippee;crest embody bah
10;sunbathe heavenly;hoot exactly;unfortunately;furthermore who;amused till boo;gnash coliseum because;rim for;furthermore quiet;that midst carpool;11586;bowed pish;guard exasperation than;well-lit;2025-07-28T18:16:15;10178;bench nor handy;dutiful;coast overconfidently;accompanist or;strange drat;ouch;false;10306;for;dull geez;orchid
