id;hier_unit_id;menu_item_master_obj_num;menu_item_master_id;menu_item_definition_id;def_sequence_num;menu_item_class_obj_num;override_print_class_obj_num;main_level;sub_level;quantity;kds_prep_time;prefix_level_override;guest_count;slu_1_obj_num;slu_2_obj_num;slu_3_obj_num;slu_4_obj_num;slu_5_obj_num;slu_6_obj_num;slu_7_obj_num;slu_8_obj_num;first_name
1;7416;883;3373;16856;29748;30261;16190;apropos;yet ha;23069;26662.95;17390;3396;calculus;yet;joyfully highly;fluffy;fragrant juvenile;phooey smug;doing quip modulo;before unconscious worth;Eloise
2;244;7659;5314;25839;5095;24910;1334;monster offensively whenever;searchingly;31913;16915.91;15507;30333;save gallery times;unfinished victoriously geez;for;separately than bah;whenever adjudge;pearl;so council woot;round huzzah inspection;Karlee
3;10066;12368;1402;28066;6617;11951;3123;fill;nor times;4441;27311.53;1890;14168;designation;athwart;ouch;likewise rationale;lively overwork playfully;necessary where illusion;lavish until circumnavigate;eek refer quarrel;Alfonzo
4;27056;21822;16603;10680;6477;23836;3644;um and up;intellect inasmuch;8542;3975.4;30657;16447;along;solder maintainer demob;storyboard disposer;for;drat retention next;lace graduate across;cute;till opposite wide-eyed;Pinkie
5;17202;32219;3381;23577;6177;8584;22741;foolish;stained;29993;3700.81;28414;1843;hence smug wafer;digital a;coast rarely canter;refer blah dilate;swift faint amongst;preclude solidly as;whether uh-huh consequently;so nor;Aimee
6;16118;6540;17972;13000;12754;5650;19729;energetically guard glimmer;information amendment instead;24612;24341.95;806;1438;horn;makeover;even within industrialize;corporation;wasteful atomize;however towards;stratify better;yippee;Berniece
7;14480;19115;31385;23924;20371;28035;11847;economise immediately;upside-down;21487;12895.87;13588;4444;humiliating sin along;congregate annual;homely oof oof;even meanwhile for;potable;meanwhile tuber upwardly;minus;self-reliant moral;Trinity
8;31369;21343;19245;2203;10076;24385;25990;with very outrageous;hungry;3787;15904.09;5349;14028;clamour christen instead;whoa fixed bookcase;best whereas conjecture;squid gah thongs;too yum;now;justly though;vary;Ara
9;22194;16474;20572;21529;1442;25774;10397;serialize under designation;ameliorate;3193;11033.29;19758;27860;whose inside regularly;near;adventurously because toward;behind substantial present;though barring overplay;the fooey rival;hexagon drat honestly;inasmuch whether;Sasha
10;1089;11496;9655;15749;1945;23749;18015;ack;overheard geez sidetrack;26551;3488.98;26098;24892;dislocate;subtle knowingly upwardly;gracefully provided;bouncy;psst phooey;dismal;rotating;however sans finally;Jaiden
